Potential biomarker;Semantic types;Connected to number of subgraph concepts;Weight points
Tetratricopeptide repeat protein 21B;Amino Acid, Peptide, or Protein;1;0
Tetratricopeptide repeat protein 8;Amino Acid, Peptide, or Protein;1;0
Vacuolar protein sorting-associated protein 13B;Amino Acid, Peptide, or Protein;1;0
pramlintide acetate;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;1;0
asperuloside;Carbohydrate;1;0
nonagouti protein, mouse;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
PM-F2-OB;Organic Chemicals, Pharmacologic Substance, Biologically Active Substance;1;0
6-(1-(3,5,5,8,8-pentamethyl-5,6,7,8-tetrahydronaphthalen-2-yl)cyclopropyl)nicotinic acid;Organic Chemicals;1;0
Chondroitin Sulfate Proteoglycans;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
2,5-dichlorophenol;Organic Chemicals;1;0
beta-granins;Amino Acid, Peptide, or Protein;1;0
lipase II;Amino Acid, Peptide, or Protein, Enzyme;1;0
phillyrin;Carbohydrate, Pharmacologic Substance;1;0
5-androstene-3 beta,7 beta,17 beta-triol;Steroid;1;0
Merlin-2;Lipid;1;0
trimethylaminobutyrate;Organic Chemicals;1;0
conotoxin AuIB;Amino Acid, Peptide, or Protein;1;0
4-amino-2-fluorobutanoic acid;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
hemisuccinate-4-oxy-3-benzylamino-N-benzylbutanamide;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
N-phthaloyl-4-aminobutyric acid;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
Cyclopentane;Organic Chemicals;1;0
2,6-dimethyl-5,7-octadien-4-one;Organic Chemicals;1;0
glutamate decarboxylase 2;Amino Acid, Peptide, or Protein, Enzyme;1;0
isopulegol;Organic Chemicals;1;0
gamma-aminobutyrylethanolamine phosphate;Amino Acid, Peptide, or Protein;1;0
Sodium- and chloride-dependent GABA transporter 3;Amino Acid, Peptide, or Protein;1;0
Sodium- and chloride-dependent betaine transporter;Amino Acid, Peptide, or Protein;1;0
Sodium- and chloride-dependent GABA transporter 2;Amino Acid, Peptide, or Protein;1;0
Sodium- and chloride-dependent GABA transporter 1;Amino Acid, Peptide, or Protein;1;0
Sodium- and chloride-dependent GABA transporter 1;Amino Acid, Peptide, or Protein;1;0
Sodium- and chloride-dependent GABA transporter 1;Amino Acid, Peptide, or Protein;1;0
ZK 91085;Organic Chemicals;1;0
PL 017;Amino Acid, Peptide, or Protein;1;0
progabide acid;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
ethyl phenylpropanoate;Organic Chemicals;1;0
digam;Organic Chemicals;1;0
gamma-ethynyl-aminobutyric acid;Amino Acid, Peptide, or Protein;1;0
N-arachidonoyl-gamma-amino-butyric acid;Amino Acid, Peptide, or Protein, Lipid, Biologically Active Substance;1;0
4-amino-3-(5-methoxybenzo(b)furan-2-yl)butanoic acid;Organic Chemicals;1;0
1-(((alpha-isobutanoyloxyethoxy)carbonyl)aminomethyl)-1-cyclohexaneacetic acid;Amino Acid, Peptide, or Protein;1;0
G Protein-Coupled Inwardly-Rectifying Potassium Channels;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
2-aminomethyl-2-tricyclo(3.3.1.1(1,7))decaneacetic acid hydrochloride;Organic Chemicals;1;0
4-(((2H-1-benzopyran-2-one-7-amino-4-methoxy)carbonyl)amino) butanoic acid;Organic Chemicals;1;0
abamineSG;Amino Acid, Peptide, or Protein;1;0
5-(7-((4-(pyridin-2-ylamino)butyrylamino)methyl)-6,9-dihydro-5H-benzocyclohepten-5-yl)acetic acid;Organic Chemicals;1;0
U 93631;Organic Chemicals;1;0
TM-GABA;Organic Chemicals;1;0
4-(dimethylamino)butyric acid;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
N-(gamma-aminobutyryl)glutamic acid;Amino Acid, Peptide, or Protein;1;0
4-(2-(2,6-dimethylaminophenylamino)-2-oxoethylamino)-N-(2,6-dimethylphenyl) butanamide;Organic Chemicals;1;0
methyl 4-(2-naphthylamino)-4-oxo-3-butynoate;Organic Chemicals;1;0
methyl 4-(4-phenoxyphenylamino)-4-oxo-3-butynoate;Organic Chemicals;1;0
methyl 4-(cyclohexylamino)-4-oxo-3-butynoate;Organic Chemicals;1;0
caloporoside;Carbohydrate, Pharmacologic Substance;1;0
N-octanoyl-4-aminobutyric acid;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
3-fluoro-gamma-aminobutryic acid;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
N-(3-carboxylpropyl)-5-amino-2-hydroxy-3-tridecyl-1,4-benzoquinone;Amino Acid, Peptide, or Protein;1;0
1 alpha,3 alpha,5 alpha-3-aminomethyl-bicyclo(3.2.0)heptane-3-acetic acid;Organic Chemicals;1;0
1,1-methylene-di-(2-naphthol)-3-acetyloxy-4-trimethylammonio-butanoate;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
relarian;Organic Chemicals, Biologically Active Substance;1;0
2-carboxyethyl gamma-aminobutyric acid;Amino Acid, Peptide, or Protein;1;0
2-chloro-4-aminobenzoic acid;Amino Acid, Peptide, or Protein;1;0
4-aminobutyric acid methyl ester;Organic Chemicals;1;0
Cyclopentenes;Organic Chemicals;1;0
omega-aminocaprylic acid;Lipid, Pharmacologic Substance;1;0
GABA-stearamide;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
gabalid;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
gabase;Amino Acid, Peptide, or Protein, Enzyme;1;0
gamma-aminobutyric acid hydroxamate;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
gamma-guanidinobutyrate;Organic Chemicals;1;0
isothaz;Organic Chemicals;1;0
meso-gamma,gamma'-diaminosuberic acid;Amino Acid, Peptide, or Protein;1;0
2-naphthylaminomethyl-gamma-aminobutyric acid;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
spasmocalm;Organic Chemicals;1;0
3-(4-tolyl)-4-aminobutyric acid;Amino Acid, Peptide, or Protein;1;0
alpha-hydroxy-beta-keto-gamma-aminobutyric acid;Amino Acid, Peptide, or Protein;1;0
pyridoxal-gamma-aminobutyrate imine;Organic Chemicals;1;0
4-amino-3-hydroxybutanamide;Organic Chemicals;1;0
4-amino-3-hydroxybutananilide;Organic Chemicals;1;0
3-aminocyclobutane-1-carboxylic acid;Organic Chemicals;1;0
LGPI-29;Amino Acid, Peptide, or Protein;1;0
4-amino-2-hydroxybutyric acid;Organic Chemicals;1;0
N-trimethylacetyl-4-aminobutyric acid;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
N-(2,4-dinitrophenyl)-4-aminobutyric acid;Amino Acid, Peptide, or Protein;1;0
gamma-allenyl GABA;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
cholesteryl gamma-aminobutyrate;Steroid;1;0
GABA-palmitamide;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
alpha-amino-gamma-nitraminobutyrate;Amino Acid, Peptide, or Protein;1;0
hopantenic acid glucoside;Amino Acid, Peptide, or Protein;1;0
N-caffeoyl-4-aminobutyric acid;Organic Chemicals;1;0
4-aminobutylalanine;Amino Acid, Peptide, or Protein;1;0
4-amino-2-fluorobut-2-enoic acid;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
N-dodecanoyl-4-aminobutyric acid;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
4-amino-3-(5-methyl-2-thienyl)butyric acid;Organic Chemicals;1;0
4-amino-3-(5-chloro-2-thienyl)butyric acid;Organic Chemicals;1;0
N,N-(bis(2-pyridylmethyl)-gamma-aminobutyrato)copper(II);Organic Chemicals;1;0
U 90167;Organic Chemicals;1;0
4-amino-3-(2-thienyl)butanoic acid;Organic Chemicals;1;0
alpha, beta-dehydroaminobutyric acid;Amino Acid, Peptide, or Protein;1;0
2,3-methanoleucine;Amino Acid, Peptide, or Protein;1;0
N-(4-hydroxy-3,3-dimethyl-2-oxo-1-butyryl)-gamma-aminobutyric acid;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
phthalazine;Organic Chemicals;1;0
protoberberine;Organic Chemicals;1;0
SL 75102;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
Ba-34,647;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
Complement component C1r;Amino Acid, Peptide, or Protein, Enzyme, Immunologic Factor;1;0
NFAT Transcription Factor 2;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Cathepsin D;Amino Acid, Peptide, or Protein;1;0
Ras-specific guanine nucleotide-releasing factor RalGPS2;Amino Acid, Peptide, or Protein;1;0
Microtubule-associated protein tau;Amino Acid, Peptide, or Protein;1;0
Tau-66;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
NCKAP1 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
alzhemed;Carbohydrate, Pharmacologic Substance;1;0
KMI-429;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
TOCOPHERYL ACID SUCCINATE;Organic Chemicals, Pharmacologic Substance, Vitamin;1;0
DP 155;Lipid;1;0
amyloid beta-protein (17-42);Amino Acid, Peptide, or Protein;1;0
alpha-Tocopherol Acetate;Organic Chemicals, Pharmacologic Substance, Vitamin;1;0
Microtubule-Associated Protein Tau;Amino Acid, Peptide, or Protein;1;0
Phosphatidylinositol-Binding Clathrin Assembly Protein;Amino Acid, Peptide, or Protein;1;0
apolipoprotein G;Amino Acid, Peptide, or Protein;1;0
PII Nitrogen Regulatory Proteins;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
SUT 8701;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
proteinase D;Amino Acid, Peptide, or Protein, Enzyme;1;0
tryptophyl adenylate;Nucleic Acid, Nucleoside, or Nucleotide, Amino Acid, Peptide, or Protein;1;0
tryptophyl-proline;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
tryptophyl-prolyl-arginyl-4-nitroaniline;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
5-bromotryptophan;Amino Acid, Peptide, or Protein;1;0
hexadecanedioic acid;Lipid;1;0
Cryoglobulin.immunoglobulin M;Immunologic Factor;1;0
1,1'-ethylidene bis(tryptophan);Amino Acid, Peptide, or Protein;1;0
beta-phenyllactic acid;Organic Chemicals, Biologically Active Substance;1;0
N(epsilon)-carbobenzyloxy-gamma-delta(1)-dihydrotryptophan;Organic Chemicals;1;0
tardioxopiperazine A;Organic Chemicals;1;0
1-methyl-tryptophan;Amino Acid, Peptide, or Protein;1;0
VRRFPWWWPFLRR;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
2-(2-hydroxyindoline)tryptophan;Organic Chemicals;1;0
Endoglucanase I;Amino Acid, Peptide, or Protein, Enzyme;1;0
HLA-A31 antigen;Immunologic Factor;1;0
indole-3-lactate;Organic Chemicals;1;0
green fluorescent protein, Aequorea victoria;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
2-benzofuranylmethoxycarboyl-alpha-methyl-1'-((4-(phosphoryloxymethyl)benzoyl)methoxycarbonyl)tryptophan-N-(1-phenylethyl)amide;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
6-methoxytryptophan;Organic Chemicals;1;0
tryptophan N-glucoside;Amino Acid, Peptide, or Protein, Carbohydrate;1;0
2-benzyl-5-(N-(tert-butoxycarbonyl)tryptophyl)amino-3-oxo-1-thioxoperhydropyrido(1,2-c)pyrimidine;Organic Chemicals;1;0
methyl N-(benzyloxycarbonyl)-didehydrovalyl-tryptophanate;Organic Chemicals;1;0
tetratryptophan ter-cyclopentane;Organic Chemicals;1;0
cristatin A;Organic Chemicals, Pharmacologic Substance, Biologically Active Substance;1;0
7-hydroxytryptophan;Amino Acid, Peptide, or Protein;1;0
dihydroisotryptophan;Amino Acid, Peptide, or Protein;1;0
tryptophan peroxide;Amino Acid, Peptide, or Protein;1;0
N-acetyltryptophan methyl ester peroxide;Amino Acid, Peptide, or Protein;1;0
indole-3-acetaldoxime;Organic Chemicals;1;0
2-(3-(2-thioxopyrrolidin-3-ylidene)methyl)tryptophan;Organic Chemicals;1;0
Ferrocyanides;Inorganic Chemical;1;0
TRAP Complex;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
EDTA-bis(L-tryptophan methyl ester);Amino Acid, Peptide, or Protein;1;0
Plasmid RP4;Nucleic Acid, Nucleoside, or Nucleotide, Biologically Active Substance;1;0
tryptophan-dehydrobutyrine diketopiperazine;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
clytin;Amino Acid, Peptide, or Protein;1;0
5-benzyloxytryptophan;Amino Acid, Peptide, or Protein;1;0
diazepinomicin;Organic Chemicals;1;0
Ardeydorm;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
L-Tryptophan-ratiopharm;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
4-nitro-tryptophan;Amino Acid, Peptide, or Protein;1;0
benzyloxycarbonyl-tryptophan 2-nitrophenoxy ester;Amino Acid, Peptide, or Protein;1;0
N-tosyl-(S)-tryptophan;Amino Acid, Peptide, or Protein;1;0
fumiquinazoline F;Organic Chemicals;1;0
CRYGD protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
N(3),5'-cycloxanthosine;Nucleic Acid, Nucleoside, or Nucleotide, Amino Acid, Peptide, or Protein;1;0
N-BOC-Trp methyl ester;Amino Acid, Peptide, or Protein;1;0
N-acetyl-N-nitrosotryptophan;Organic Chemicals;1;0
N-(1-(2-carboxy-4-phenylbutyl)cyclopentylcarbonyl)tryptophan;Amino Acid, Peptide, or Protein;1;0
5'-phosphopyridoxyl-7-azatryptophan;Amino Acid, Peptide, or Protein;1;0
PMAP-23;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
arestrictin A;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
arestrictin B;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
3-(3-indolyl)-2-hydroxypropanoic acid cyanomethyl ester;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
5-hydroxy-L-(beta-11C)tryptophan;Organic Chemicals;1;0
1-methyltryptophan;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
6(I)-tryptophyl-6(I)-deoxy-2(I),3(I)-di-O-methylhexakis(2(II-VII),3(II-VII),6(II-VII)-tri-O-methyl)-beta-cyclodextrin;Amino Acid, Peptide, or Protein, Carbohydrate;1;0
isoplysin A;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
phloem lectin;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
pyrroindomycin A;Organic Chemicals;1;0
4a-hydroxytetrahydrobiopterin;Organic Chemicals;1;0
tryptophanhydroxamate;Amino Acid, Peptide, or Protein;1;0
Amino Acid Racemases;Amino Acid, Peptide, or Protein, Enzyme;1;0
N-undecanoyltryptophan;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Tryptophan-Specific tRNA;Nucleic Acid, Nucleoside, or Nucleotide, Biologically Active Substance;1;0
2-hydroxymethyl-1-(N-phthaloyltryptophyl)aziridine;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
N-(beta-elemene-13-yl)tryptophan methyl ester;Amino Acid, Peptide, or Protein;1;0
2-(3-(2-thioxopyrrolidin-3-ylidene)methyl)-tryptophan;Amino Acid, Peptide, or Protein;1;0
6,7-dichlorotryptophan;Organic Chemicals;1;0
4-azatryptophan;Amino Acid, Peptide, or Protein;1;0
beta-methyltryptophan;Amino Acid, Peptide, or Protein;1;0
dansyl-L-tryptophan methyl ester;Amino Acid, Peptide, or Protein;1;0
2-(4-(but-2-ynyloxy)phenylsulfonamido)-3-(1-(4-methoxybenzyl)-1H-indol-3-yl)propanoic acid;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
L-6-bromohypaporphine;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
2-methyltryptophan;Amino Acid, Peptide, or Protein;1;0
tryptophan octyl ester;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
tryptophan butyl ester;Amino Acid, Peptide, or Protein;1;0
N-((1-((2-acetylmercapto-3-methyl-1-oxobutyl)amino)-1-cyclopentyl)carbonyl)tryptophan ethyl ester;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
benzyloxycarbonyltryptophanylchloromethane;Amino Acid, Peptide, or Protein;1;0
Cam 2445;Amino Acid, Peptide, or Protein;1;0
5-(2-fluoroethoxy)tryptophan;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
tryptophanyl-5'-adenosine monophosphate;Nucleic Acid, Nucleoside, or Nucleotide, Amino Acid, Peptide, or Protein;1;0
N-(4-(1-pyrene)butyroyl)tryptophan;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
methyl 2-(7-chloroquinolin-4-ylamino)-3-(1H-indol-3-yl)propanoate;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
2,3-dihydrotryptophan;Amino Acid, Peptide, or Protein;1;0
2,5,7-tri-tert-butyltryptophan;Amino Acid, Peptide, or Protein;1;0
4-fluorotryptophan;Amino Acid, Peptide, or Protein;1;0
5-fluorotryptophan;Amino Acid, Peptide, or Protein;1;0
5-methyltryptophan;Amino Acid, Peptide, or Protein;1;0
6-chlorotryptophan;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
6-nitrotryptophan;Amino Acid, Peptide, or Protein;1;0
alliin lyase;Amino Acid, Peptide, or Protein, Enzyme;1;0
anthranilate aggregate;Amino Acid, Peptide, or Protein, Enzyme;1;0
benzyloxycarbonyltryptophan;Amino Acid, Peptide, or Protein;1;0
beta-3-oxindolylalanine;Amino Acid, Peptide, or Protein;1;0
RNase 2;Amino Acid, Peptide, or Protein, Enzyme;1;0
N-acetyltryptophan methylamide;Amino Acid, Peptide, or Protein;1;0
C(2)-mannosyltryptophan;Amino Acid, Peptide, or Protein;1;0
GM 1489;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
viridiofungin C;Organic Chemicals;1;0
Ketoacid decarboxylase;Amino Acid, Peptide, or Protein, Enzyme;1;0
hexafluoroisopropanol;Organic Chemicals;1;0
indoleacetamide hydrolase;Amino Acid, Peptide, or Protein, Enzyme;1;0
(3-(2-amino-2-carboxyethyl)-3-(8-xanthinyl))indolenine;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
N-furoyltryptophan;Amino Acid, Peptide, or Protein;1;0
oxotomaymycin;Organic Chemicals;1;0
4-(E-4'-hydroxy-3'-methylbut-2'-enyl)-L-tryptophan;Amino Acid, Peptide, or Protein;1;0
aplysinopsin;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
N-(2-furyl)acryloyl-L-tryptophan methyl ester;Amino Acid, Peptide, or Protein;1;0
methylsuccinic acid;Organic Chemicals;1;0
N-tert-butyl-tryptophan;Amino Acid, Peptide, or Protein;1;0
tryptophanol phosphate;Amino Acid, Peptide, or Protein;1;0
N-dichloroacetyl-5-nitrotryptophan;Amino Acid, Peptide, or Protein;1;0
precatorine;Amino Acid, Peptide, or Protein;1;0
3-amino-1-chloroindolybutane;Amino Acid, Peptide, or Protein;1;0
flavinyltryptophan;Amino Acid, Peptide, or Protein;1;0
2-thioltryptophan;Amino Acid, Peptide, or Protein;1;0
beta-hydroxy-N-acetyltryptophanamide;Amino Acid, Peptide, or Protein;1;0
chloroacetyltryptophan;Amino Acid, Peptide, or Protein;1;0
tryptophan pyrolysate, basic fraction;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
1-dimethylaminonaphthalene-5-sulfonyl-D-tryptophan ethyl ester;Amino Acid, Peptide, or Protein;1;0
N(beta)-phenylpropionyltryptophan;Amino Acid, Peptide, or Protein;1;0
N-(9H-fluoren-9-ylacetyl)tryptophan;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
7-chlorotryptophan;Amino Acid, Peptide, or Protein;1;0
2-amino-3-((N-2,4,6-trimethylbenzenesulfonyl)indole)propionic acid;Amino Acid, Peptide, or Protein;1;0
tert-butyloxycarbonyltryptophan;Amino Acid, Peptide, or Protein;1;0
6-azidotryptophan;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
Factor VIII Leiden;Amino Acid, Peptide, or Protein;1;0
2,3-dihydro-5-fluorotryptophan;Amino Acid, Peptide, or Protein;1;0
N-formylmethionyl tryptophan;Amino Acid, Peptide, or Protein;1;0
N-palmitoyltryptophan n-hexyl ester;Amino Acid, Peptide, or Protein;1;0
N-formyltryptophan;Amino Acid, Peptide, or Protein;1;0
1-(1,2-hydroquinone)-N-acetyltryptophan;Amino Acid, Peptide, or Protein;1;0
N-carbamyltryptophan;Amino Acid, Peptide, or Protein;1;0
8-azatryptophan;Amino Acid, Peptide, or Protein;1;0
neohesperidin dihydrochalcone;Organic Chemicals;1;0
3-methylcytidine monophosphate-tryptophan complex;Nucleic Acid, Nucleoside, or Nucleotide, Amino Acid, Peptide, or Protein;1;0
N-(2,4,6-triisopropylphenylsulfonyl)tryptophan;Amino Acid, Peptide, or Protein;1;0
6-(difluoromethyl)tryptophan;Amino Acid, Peptide, or Protein;1;0
oxalocrotonate;Lipid;1;0
alpha-(fluoromethyl)tryptophan;Amino Acid, Peptide, or Protein;1;0
Asahi IM-TR 350;Organic Chemicals;1;0
4-methyltryptophan;Amino Acid, Peptide, or Protein;1;0
6-bromotryptophan;Amino Acid, Peptide, or Protein;1;0
caffeoyltryptophan;Organic Chemicals;1;0
Threonine synthase;Amino Acid, Peptide, or Protein, Enzyme;1;0
GABA type B receptor, subunit 1;Amino Acid, Peptide, or Protein, Receptor;1;0
vitamin A2;Organic Chemicals, Pharmacologic Substance, Vitamin;1;0
SR 4317;Organic Chemicals;1;0
Proto-Oncogene Proteins c-bcl-2;Amino Acid, Peptide, or Protein;1;0
Neopterin, (erythro-D)-Isomer;Organic Chemicals, Biologically Active Substance;1;0
